HIP 77900 b,Confirmed,20,3,7,,,,,,,,,,3200,300,300,,,,,,,,2013,26/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,Published in a refereed paper,Imaging,,,,,HIP 77900,238.625,-27.3386,,,,,,,,,,,,,,,,,,B6,,,,13700,1550,1200,,,
HIP 78530 b,Confirmed,23.04,4,4,,,,,,,,,,710,60,60,,,,,,,4.530951,2011,26/01/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HIP 78530,240.4791667,-21.9802778,7.18,,,,,156.7,13,13,,,,2.5,0,0,,,,B9V,0.011,0.002,0.002,10500,0,0,,,
HN Peg b,Confirmed,16,9.4,9.4,,,,1.1,0.06,0.06,,,,795,15,15,,,,,,,43.206522,2007,23/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HN Peg,326.1291667,14.7719444,6,,,,,18.4,0.3,0.3,,,,1,,,,,,G0V,0.2,,,,,,,,
HR 2562 b,Confirmed,30,15,15,,,,,,,,,,20.3,0.3,0.3,,,,,,,,2016,06/10/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HR 2562,102.5042264,-60.2491438,6.114,,,,,33.63,0.48,0.48,0.015,0.065,0.065,1.3,,,,,,F5V,0.6,0.3,0.3,,,,IR Excess,,
HR 3549 b,Confirmed,45,5,5,,,,,,,,,,80,,,,,,,,,,2015,22/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HR 3549,133.2666667,-56.64944447,6.01,,,,,92.5,,,,,,,,,,,,A0V,0.125,0.025,0.025,10207,347,347,IR Excess,,HD 76346
HR 8799 b,Confirmed,7,2,4,,,,1.2,0.1,0.1,164250,,,68,,,0,,,28,,,1.725888,2008,13/03/2015,,,,,,,,,,,,,,,,,,,,,,2047.1,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,"CO, CH4, H2O",HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HR 8799 c,Confirmed,10,3,3,,,,1.3,0,0,82145,,,42.9,,,0,,,28,,,1.088832,2008,30/08/2013,,,,,,,,,,,,,,,,,,,,,,1936.7,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HR 8799 d,Confirmed,10,3,3,,,,1.2,0,0,41054,,,27,,,0.1,,,28,,,0.685279,2008,30/08/2013,80.2,,,,,,,,,,,,,,,,,,,,,2003.7,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HR 8799 e,Confirmed,9,4,4,,,,,,,18000,0,0,14.5,0.5,0.5,,,,,,,0.36802,2010,30/08/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
Kepler-70  b,Confirmed,0.014,,,,,,0.068,,,0.2401,4.00E-06,4.00E-06,0.006,,,,,,,,,5.00E-06,2011,24/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,KOI-55 b,,Kepler-70,296.3541667,41.0927778,14.87,,,,,1180,95,95,,,,0.496,0.002,0.002,0.203,0.007,0.007,sdB,0.0184,0.001,0.001,27730,270,270,,,KOI-55
Kepler-70 c,Confirmed,0.0021,,,,,,0.078,,,0.34289,1.30E-05,1.30E-05,0.0076,,,,,,,,,6.00E-06,2011,24/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,KOI-55 c,,Kepler-70,296.3541667,41.0927778,14.87,,,,,1180,95,95,,,,0.496,0.002,0.002,0.203,0.007,0.007,sdB,0.0184,0.001,0.001,27730,270,270,,,KOI-55
L2 Pup b,Confirmed,12,11.99,16,,,,,,,,,,2,,,,,,,,,,2016,29/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,L2 Pup,108.3846588,-44.63973974,5.1,,,,,64,4,4,0.008,,,0.659,0.011,0.011,,,,M5,,,,3500,250,250,,,
LKCA 15 b,Confirmed,6,1,1,,,,,,,40000,0,0,15.7,2.1,2.1,,,,,,,0.108276,2011,09/09/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,LKCA 15,69.825,22.3508333,11.91,,,,,145,15,15,,,,0.97,0.03,0.03,,,,K5V,0.002,,,,,,,,
PDS 70 b,Confirmed,10.5,3.5,3.5,,,,,,,43465,,,22,,,,,,,,,,2018,04/07/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,PDS 70,212.0423105,-41.39793796,12.233,,,,,113.43,0.52,0.52,,,,0.76,0.02,0.02,1.26,0.15,0.15,K7,5.4,1,1,3972,36,36,Imaging,,"2MASS J14081015-4123525, V* V1032 Cen"
PZ Tel b,Confirmed,62,9,9,,,,,,,,,,20,,,0.62,,,,,,,2010,27/03/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2987,,,,,4.78,Published in a refereed paper,Imaging,,,,,PZ Tel,283.275,-50.1805556,8.43,,,,,51.49,2.6,2.6,0.05,0.2,0.2,1.13,0.03,0.03,1.23,0.04,0.04,G6.5,0.023,0.003,0.003,5338,200,200,,,"HD 174429, HIP 92680"
ROXs 12 b,Confirmed,16,4,4,,,,,,,,,,210,20,20,,,,,,,,2013,02/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,ROXs 12,246.6041667,-24.54333332,15.5,,,,,120,,,,,,0.87,0.08,0.08,,,,M0,0.0076,0.0041,0.0025,3850,100,70,,,
ROXs 42B b,Confirmed,9,3,3,,,,2.5,,,,,,140,10,10,,,,,,,,2013,02/04/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,,,,,3.6,Published in a refereed paper,Imaging,,,,"CO, H2O, K",ROXs 42B,247.8125,-24.5456,14.27,,,,,135,5,5,,,,0.6,,,,,,M0 D,0.0068,0.0023,0.0034,2200,200,200,,,
Ross 458 (AB) c,Confirmed,11.3,4.5,4.5,,,,1.07,0.07,0.07,,,,1168,,,,,,,,,10.245614,2010,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,,,,,4.35,Published in a refereed paper,Imaging,,,"Ross 458C, WISEPC J130041.65+122114.6 , HIP 63510C","H2, CH4, H2O, K",Ross 458 (AB),195.1958333,12.3758333,9.76,,,,,11.7,0.2,0.2,0,,,0.6,0.08,0.08,,,,M0.5,0.475,0.325,0.325,,,,,,"DT Virginis, HIP 63510, GI 494"
SR 12 AB c,Confirmed,13,7,7,,,,,,,,,,1083,217,217,,,,,,,8.664,2011,27/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,SR 12 (AB),246.8333333,-24.6944444,13.28,,,,,125,25,25,,,,,,,,,,K4-M2.5,0.001,inf,nan,,,,,,
TWA 5 A (AB) b,Confirmed,25,20,120,,,,,,,,,,86,,,0.45,,,,,,,2009,23/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,TWA 5 A (AB),172.9791667,-34.6075,12.12,,,,,25,,,,,,0.4,,,,,,M1.5,0.1,0.09,0.09,,,,,,
USco1602-2401 b,Confirmed,47,18,20,,,,,,,,,,1000,140,140,,,,,,,,2013,22/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790,,,,,,,,,Published in a refereed paper,Imaging,,,,,USco1602-2401,240.7125,-24.030666,,,12.5,,,,,,,,,,,,,,,K4,,,,4550,120,120,,,
USco1610-1913 b,Confirmed,20,3,7,,,,,,,,,,840,90,90,,,,,,,,2013,22/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,Published in a refereed paper,Imaging,,,,,USco1610-1913,242.6333,-19.219055,,,13.9,,,,,,,,,,,,,,,K7,,,,4140,130,160,,,
